battery,cycle,ambient_temp_c,capacity_ah,v_min,t_max_c,discharge_time_s,soh_pct
B0005,1,24,1.8564874208181574,2.612467347907089,38.98218133148803,3690.234,100.0
B0005,2,24,1.846327249719927,2.587208728940726,39.033397966787035,3672.344,99.45
B0005,3,24,1.8353491942234077,2.6519168938437794,38.818796689817404,3651.641,98.86
B0005,4,24,1.8352625275821128,2.592947964776547,38.7623045063458,3631.563,98.86
B0005,5,24,1.8346455082120419,2.547419651124539,38.66539257343368,3629.172,98.82
B0005,6,24,1.8356616600675495,2.5209480504077413,38.75169504640032,3652.281,98.88
B0005,7,24,1.8351461429226603,2.487927319492314,38.8207012322275,3650.828,98.85
B0005,8,24,1.8257567905665537,2.6652049047458775,38.51713023385634,3572.453,98.34
B0005,9,24,1.8247738529891333,2.6038584726333673,38.526267904657,3550.594,98.29
B0005,10,24,1.824613268496936,2.552853984885676,38.52698128472781,3551.25,98.28
B0005,11,24,1.8246195526864504,2.4724483018527317,38.54143406601644,3530.25,98.28
B0005,12,24,1.8142019357673917,2.64956413267546,38.52197451768004,3491.016,97.72
B0005,13,24,1.8137521577549054,2.5724981777366227,38.582485834057856,3470.281,97.7
B0005,14,24,1.8134404914735822,2.5249886697730286,38.520294134873915,3470.0,97.68
B0005,15,24,1.8025980036306504,2.694621861688723,38.21358592965045,3450.297,97.1
B0005,16,24,1.80210690024615,2.64010141737067,38.1983618706913,3429.407,97.07
B0005,17,24,1.802579500826209,2.5739035098380962,38.31926916027133,3409.484,97.1
B0005,18,24,1.8030683142834096,2.4942396831720126,38.4787542519308,3390.422,97.12
B0005,19,24,1.8027776247196041,2.4556793246645583,38.54659017774874,3390.281,97.11
B0005,20,24,1.8470259949329193,2.632142800798914,38.44749852224995,3591.734,99.49
B0005,21,24,1.847417311283644,2.5027764692056795,38.992275791716615,3552.297,99.51
B0005,22,24,1.8361774213478947,2.617507742871704,38.51424197364312,3531.578,98.91
B0005,23,24,1.8257807475776242,2.694074478000972,38.165816144899125,3492.907,98.35
B0005,24,24,1.8251136435078368,2.6237674644021887,38.16526203587147,3511.594,98.31
B0005,25,24,1.8255815042203762,2.5010798299873738,38.27549578575718,3431.9370000000054,98.34
B0005,26,24,1.8140311275083907,2.6849988185249796,37.982160799183106,3431.125,97.71
B0005,27,24,1.8147691941158939,2.547109116468133,38.11100191887773,3412.406,97.75
B0005,28,24,1.813969388710352,2.471314764334132,38.18831137948753,3410.688,97.71
B0005,29,24,1.802765665167823,2.6613903306108773,37.998541119085836,3410.718,97.11
B0005,30,24,1.804077040117352,2.541762355407921,38.194201649765226,3392.719,97.18
B0005,31,24,1.8518025516704486,2.628919415830567,38.45796400011448,3470.672,99.75
B0005,32,24,1.8307038456739428,2.6312552691827045,38.49126351534004,3414.109,98.61
B0005,33,24,1.8199041089501267,2.654880745360911,38.31473393357882,3395.219,98.03
B0005,34,24,1.8093079637028517,2.6749688422803803,37.861934640176806,3386.0,97.46
B0005,35,24,1.80460990458052,2.6159705726789904,37.90665575786083,3368.187,97.21
B0005,36,24,1.7993770651972192,2.658447162110498,38.34003238560517,3368.266,96.92
B0005,37,24,1.7884432335370462,2.6979426084271156,38.0745950590744,3358.719,96.33
B0005,38,24,1.7829230484252723,2.6617272246516333,38.07252758016199,3339.5,96.04
B0005,39,24,1.7730337158018288,2.699288287625812,37.80133585100446,3331.265,95.5
B0005,40,24,1.773037755078937,2.6127932408838532,38.39873985476869,3321.188,95.5
B0005,41,24,1.7678721106662054,2.6637064901468075,38.74929237918251,3321.844,95.23
