examiner_id,home_branch,gt_integrity_outlier
VE001,BR01,False
VE002,BR12,False
VE003,BR19,False
VE004,BR19,False
VE005,BR19,False
VE006,BR01,False
VE007,BR15,False
VE008,BR17,False
VE009,BR07,False
VE010,BR07,False
VE011,BR00,False
VE012,BR18,False
VE013,BR09,False
VE014,BR03,False
VE015,BR08,False
VE016,BR16,False
VE017,BR15,True
VE018,BR04,False
VE019,BR10,False
VE020,BR06,False
VE021,BR01,False
VE022,BR13,False
VE023,BR03,False
VE024,BR07,False
VE025,BR11,False
VE026,BR13,False
VE027,BR04,False
VE028,BR06,False
VE029,BR11,False
VE030,BR09,False
VE031,BR13,False
VE032,BR04,False
VE033,BR17,False
VE034,BR14,False
VE035,BR01,False
VE036,BR12,False
VE037,BR10,False
VE038,BR01,False
VE039,BR02,False
VE040,BR08,False
VE041,BR00,False
VE042,BR06,False
VE043,BR14,False
VE044,BR13,True
VE045,BR16,False
VE046,BR12,False
VE047,BR05,False
VE048,BR19,False
VE049,BR15,False
VE050,BR16,False
VE051,BR19,False
VE052,BR10,False
VE053,BR16,False
VE054,BR14,False
VE055,BR15,False
VE056,BR13,False
VE057,BR15,False
VE058,BR18,False
VE059,BR13,False
VE060,BR05,False
VE061,BR18,False
VE062,BR13,False
VE063,BR05,False
VE064,BR11,False
VE065,BR18,False
VE066,BR19,False
VE067,BR16,False
VE068,BR15,False
VE069,BR19,False
VE070,BR16,False
VE071,BR01,False
VE072,BR17,False
VE073,BR04,False
VE074,BR11,False
VE075,BR13,False
VE076,BR19,False
VE077,BR15,False
VE078,BR00,False
VE079,BR03,False
VE080,BR14,False
