registration,make,model
WF59JYE,FORD,FIESTA
WF59OKV,FORD,FIESTA
WF59OKW,FORD,FIESTA
WF59VFZ,MITSUBISHI,COLT
WF59WGP,FORD,FIESTA
WF60FBB,FORD,FIESTA
WF61BWU,FORD,FIESTA
WF62ZTG,CITROEN,DS5
WF63UJT,VOLKSWAGEN,TR-PORTER
WF64KKU,TOYOTA,YARIS
WF64WPE,PEUGEOT,108
WF64YPR,BMW,218
WF66NZC,TOYOTA,YARIS
WF68TNO,TOYOTA,YARIS
WF69WMA,BMW,S 1000
WF71MTJ,TOYOTA,YARIS CROSS DESIGN HEV AUTO
WF72DWK,MG,HS EXCLUSIVE
WF72XYL,KIA,RIO
WFZ7325,FORD,FIESTA
WG02BKF,FORD,FIESTA
WG02CXH,FORD,FIESTA
WG02GXN,FORD,FIESTA
WG02HWU,FORD,FIESTA
WG02TBZ,VAUXHALL,VECTRA
WG04FZE,KIA,RIO
WG04HFL,TOYOTA,YARIS
WG05YFS,FORD,FIESTA
WG07NNT,FORD,FIESTA
WG08BUH,TOYOTA,YARIS
WG08NJY,MITSUBISHI,COLT
WG08WNF,FORD,FIESTA
WG08YHB,VAUXHALL,VECTRA
WG09BXD,TOYOTA,YARIS
WG09BYA,MITSUBISHI,COLT
WG09EFH,TOYOTA,YARIS
WG09GZF,FORD,FIESTA
WG09RMX,MERCEDES-BENZ,CLS
WG10GWM,FORD,FIESTA
WG10NVM,TOYOTA,YARIS
WG10RWE,FORD,FIESTA
WG12VBL,FORD,FIESTA
WG13DJE,KIA,CEED
WG13RLO,KIA,RIO
WG14AKU,KIA,CEED
WG15FON,FORD,FIESTA
WG16KUC,MAZDA,6
WG16WFC,PEUGEOT,108
WG20KKM,FORD,TOURNEO CUSTOM 320 TI EBLUE A
WG21LTZ,KIA,RIO
WG21XFL,LAND ROVER,R ROVER SPORT A-BIO DYN PHEV A
WG51MXH,TOYOTA,YARIS
WG51YNL,FORD,FIESTA
WG52BFU,FORD,FIESTA
WG52NKL,FORD,FIESTA
WG53CXD,RENAULT,SCENIC
WG53GZW,RENAULT,SCENIC
WG53ORZ,RENAULT,SCENIC
WG53ZKP,KIA,RIO
WG54OFY,RENAULT,SCENIC
WG55TKY,FORD,FIESTA
WG55YYN,CHRYSLER,VOYAGER
WG56HXN,FORD,FIESTA
WG56ZBL,FORD,FIESTA
WG59CMZ,KIA,CEED
WG60CWO,FORD,FIESTA
WG60LDV,FORD,FIESTA
WG60LFX,FORD,FIESTA
WG61FGJ,VAUXHALL,AGILA
WG62GVK,FORD,FIESTA
WG62TJV,FORD,FIESTA
WG63KCA,FORD,FIESTA
WG64AVX,FORD,FIESTA
WG64YDF,KIA,CEED
WG67XOA,TOYOTA,YARIS
WG68YKB,MERCEDES-BENZ,SPRINTER
WG69DLJ,KIA,CEED
WG69NGF,TOYOTA,YARIS
WG70GOE,MERCEDES-BENZ,GLE 350 AMG LINE PREM DE 4M A
WG72EPP,BMW,128TI AUTO
WG72JGX,AUDI,Q3 SPORT 35 TFSI MHEV S-A
WG73RKJ,MG,ZS SE EV
WGZ4051,FORD,FIESTA
WH05ZAN,TOYOTA,YARIS
WH08BUN,MERCEDES-BENZ,SPRINTER
WH21FDU,VOLKSWAGEN,POLO MATCH EVO
WH23JVW,MERCEDES-BENZ,CLA 200 AMG LINE EXECUTIVE A
WH63LMO,FORD,FIESTA
WH72PPY,MERCEDES-BENZ,SPRINTER
WH73AHZ,HYUNDAI,I30 N LINE MHEV T-GDI AUTO
WIA1900,KIA,RIO
WJ03NVM,KIA,RIO
WJ03ZRF,FORD,FIESTA
WJ04UFP,VAUXHALL,VECTRA
WJ04ZCE,KIA,RIO
WJ04ZHY,FORD,FIESTA
WJ05NVE,FORD,FIESTA
WJ05ZXU,RENAULT,SCENIC
WJ06XTV,FORD,FIESTA
WJ07KFD,RENAULT,SCENIC
WJ07WGV,MITSUBISHI,COLT
WJ07XYG,FORD,FIESTA
WJ08BOF,TOYOTA,YARIS
WJ09AYM,FORD,FIESTA
WJ09FUF,FORD,FIESTA
WJ09GUD,TOYOTA,YARIS
WJ09VOD,FORD,FIESTA
WJ09XOF,FORD,FIESTA
WJ10MVO,VAUXHALL,AGILA
WJ10NBE,TOYOTA,YARIS
WJ10UDM,MAZDA,6
WJ11HFF,KIA,RIO
