claim_id,family,defect_group,n,initial_tests_2024,failure_items_per_100_tests,national_failure_items_per_100_tests,excess_pp,over_representation_ratio,confidence,source_data_release_id,dataset_release_id
fail-group:audi-a1:dvsa-2024-v1:lamps-reflectors-and-electrical-equipment,audi-a1,"Lamps, reflectors and electrical equipment",35669,386496,9.2288,23.5162,-14.2874,0.3924,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:suspension,audi-a1,Suspension,60163,386496,15.5663,19.9047,-4.3384,0.7820,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:brakes,audi-a1,Brakes,35707,386496,9.2386,14.3394,-5.1008,0.6443,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:visibility,audi-a1,Visibility,37545,386496,9.7142,11.9934,-2.2792,0.8100,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:tyres,audi-a1,Tyres,46944,386496,12.1461,10.2666,1.8795,1.1831,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:body-chassis-structure,audi-a1,"Body, chassis, structure",19988,386496,5.1716,8.3605,-3.1889,0.6186,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:noise-emissions-and-leaks,audi-a1,"Noise, emissions and leaks",10957,386496,2.8350,4.9009,-2.0660,0.5785,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:steering,audi-a1,Steering,12238,386496,3.1664,4.5923,-1.4259,0.6895,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:seat-belts-and-supplementary-restraint-systems,audi-a1,Seat belts and supplementary restraint systems,3247,386496,0.8401,1.4183,-0.5782,0.5923,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:identification-of-the-vehicle,audi-a1,Identification of the vehicle,2428,386496,0.6282,0.6183,0.0099,1.0160,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a1:dvsa-2024-v1:road-wheels,audi-a1,Road Wheels,1255,386496,0.3247,0.5972,-0.2725,0.5437,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:lamps-reflectors-and-electrical-equipment,audi-a3,"Lamps, reflectors and electrical equipment",125332,654933,19.1366,23.5162,-4.3796,0.8138,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:suspension,audi-a3,Suspension,142008,654933,21.6828,19.9047,1.7781,1.0893,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:brakes,audi-a3,Brakes,78248,654933,11.9475,14.3394,-2.3920,0.8332,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:visibility,audi-a3,Visibility,78015,654933,11.9119,11.9934,-0.0815,0.9932,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:tyres,audi-a3,Tyres,78942,654933,12.0534,10.2666,1.7869,1.1740,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:body-chassis-structure,audi-a3,"Body, chassis, structure",64444,654933,9.8398,8.3605,1.4793,1.1769,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:noise-emissions-and-leaks,audi-a3,"Noise, emissions and leaks",31776,654933,4.8518,4.9009,-0.0491,0.9900,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:steering,audi-a3,Steering,9913,654933,1.5136,4.5923,-3.0787,0.3296,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:seat-belts-and-supplementary-restraint-systems,audi-a3,Seat belts and supplementary restraint systems,8082,654933,1.2340,1.4183,-0.1843,0.8701,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:identification-of-the-vehicle,audi-a3,Identification of the vehicle,4412,654933,0.6737,0.6183,0.0554,1.0895,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a3:dvsa-2024-v1:road-wheels,audi-a3,Road Wheels,3517,654933,0.5370,0.5972,-0.0602,0.8992,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:lamps-reflectors-and-electrical-equipment,audi-a4,"Lamps, reflectors and electrical equipment",82274,406182,20.2555,23.5162,-3.2608,0.8613,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:suspension,audi-a4,Suspension,96395,406182,23.7320,19.9047,3.8273,1.1923,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:brakes,audi-a4,Brakes,49045,406182,12.0746,14.3394,-2.2648,0.8421,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:visibility,audi-a4,Visibility,48621,406182,11.9702,11.9934,-0.0231,0.9981,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:tyres,audi-a4,Tyres,54044,406182,13.3054,10.2666,3.0388,1.2960,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:body-chassis-structure,audi-a4,"Body, chassis, structure",56439,406182,13.8950,8.3605,5.5345,1.6620,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:noise-emissions-and-leaks,audi-a4,"Noise, emissions and leaks",18343,406182,4.5160,4.9009,-0.3850,0.9214,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:steering,audi-a4,Steering,19357,406182,4.7656,4.5923,0.1733,1.0377,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:seat-belts-and-supplementary-restraint-systems,audi-a4,Seat belts and supplementary restraint systems,5475,406182,1.3479,1.4183,-0.0704,0.9504,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:identification-of-the-vehicle,audi-a4,Identification of the vehicle,2926,406182,0.7204,0.6183,0.1021,1.1651,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:audi-a4:dvsa-2024-v1:road-wheels,audi-a4,Road Wheels,3168,406182,0.7799,0.5972,0.1827,1.3059,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:lamps-reflectors-and-electrical-equipment,bmw-3-series,"Lamps, reflectors and electrical equipment",151262,675043,22.4078,23.5162,-1.1085,0.9529,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:suspension,bmw-3-series,Suspension,129267,675043,19.1494,19.9047,-0.7553,0.9621,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:brakes,bmw-3-series,Brakes,115062,675043,17.0451,14.3394,2.7057,1.1887,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:visibility,bmw-3-series,Visibility,103831,675043,15.3814,11.9934,3.3880,1.2825,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:tyres,bmw-3-series,Tyres,87422,675043,12.9506,10.2666,2.6840,1.2614,ok,dvsa-2024-v1,motriskindex-families-2024-v2
fail-group:bmw-3-series:dvsa-2024-v1:body-chassis-structure,bmw-3-series,"Body, chassis, structure",25673,675043,3.8032,8.3605,-4.5573,0.4549,ok,dvsa-2024-v1,motriskindex-families-2024-v2
