claim_id,family,n,initial_failures_n,initial_fail_pct,strict_failures_n,strict_fail_pct,prs_n,prs_pct,age_adjusted_mot_initial_failure_ratio,ratio_ci95_low,ratio_ci95_high,confidence,source_data_release_id,dataset_release_id
family-stats:audi-a1:dvsa-2024-v1,audi-a1,386496,78891,20.4119,66228,17.1355,12663,3.2764,91.3110,90.7439,91.8807,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:audi-a3:dvsa-2024-v1,audi-a3,654933,151374,23.1129,122237,18.6640,29137,4.4489,82.1260,81.7637,82.4893,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:audi-a4:dvsa-2024-v1,audi-a4,406182,101899,25.0870,82961,20.4246,18938,4.6624,84.5541,84.1055,85.0042,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:bmw-3-series:dvsa-2024-v1,bmw-3-series,675043,167066,24.7489,131803,19.5251,35263,5.2238,75.6121,75.2981,75.9271,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:ds3:dvsa-2024-v1,ds3,158830,64622,40.6863,51518,32.4359,13104,8.2503,150.1657,149.2749,151.0582,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:fiat-500:dvsa-2024-v1,fiat-500,477588,151323,31.6848,126504,26.4881,24819,5.1967,116.2490,115.7654,116.7337,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:ford-fiesta:dvsa-2024-v1,ford-fiesta,1959383,672717,34.3331,527187,26.9058,145530,7.4273,117.7868,117.5588,118.0150,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:ford-focus:dvsa-2024-v1,ford-focus,1348944,418449,31.0205,325284,24.1140,93165,6.9065,106.8662,106.5974,107.1353,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:ford-kuga:dvsa-2024-v1,ford-kuga,396566,80909,20.4024,62091,15.6572,18818,4.7452,91.3308,90.7706,91.8935,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:honda-civic:dvsa-2024-v1,honda-civic,411763,132991,32.2979,102487,24.8898,30504,7.4081,100.7233,100.2784,101.1692,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:honda-e:dvsa-2024-v1,honda-e,2699,256,9.4850,199,7.3731,57,2.1119,84.6356,75.2791,95.0197,low_sample,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:honda-jazz:dvsa-2024-v1,honda-jazz,440547,117178,26.5983,90368,20.5127,26810,6.0856,84.9616,84.5455,85.3790,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:hyundai-i10:dvsa-2024-v1,hyundai-i10,328314,88487,26.9519,67131,20.4472,21356,6.5047,103.6430,103.0604,104.2277,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:kia-sportage:dvsa-2024-v1,kia-sportage,396816,89482,22.5500,73904,18.6242,15578,3.9257,107.7930,107.1727,108.4159,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:mercedes-a-class:dvsa-2024-v1,mercedes-a-class,585107,110191,18.8326,88448,15.1166,21743,3.7161,91.2857,90.8011,91.7723,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:mercedes-c-class:dvsa-2024-v1,mercedes-c-class,646907,145909,22.5549,121858,18.8370,24051,3.7178,83.6130,83.2360,83.9911,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:mercedes-e-class:dvsa-2024-v1,mercedes-e-class,419012,83203,19.8569,71266,17.0081,11937,2.8488,75.7891,75.3291,76.2512,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:mini-hatch:dvsa-2024-v1,mini-hatch,1011919,237067,23.4275,183208,18.1050,53859,5.3225,85.4659,85.1652,85.7673,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:mitsubishi-outlander:dvsa-2024-v1,mitsubishi-outlander,120823,25730,21.2956,20413,16.8950,5317,4.4007,100.4988,99.4137,101.5925,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:nissan-juke:dvsa-2024-v1,nissan-juke,460457,130645,28.3729,108434,23.5492,22211,4.8237,124.6568,124.0855,125.2297,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:nissan-leaf:dvsa-2024-v1,nissan-leaf,70882,12537,17.6871,10463,14.7612,2074,2.9260,109.1816,107.4585,110.9264,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:nissan-micra:dvsa-2024-v1,nissan-micra,342234,123622,36.1221,95639,27.9455,27983,8.1766,112.5054,112.0047,113.0072,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:nissan-qashqai:dvsa-2024-v1,nissan-qashqai,800602,240736,30.0694,204531,25.5472,36205,4.5222,122.9221,122.5119,123.3331,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:renault-clio:dvsa-2024-v1,renault-clio,473424,196158,41.4339,165029,34.8586,31129,6.5753,141.4691,140.9902,141.9484,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:tesla-model-3:dvsa-2024-v1,tesla-model-3,116025,16281,14.0323,14599,12.5826,1682,1.4497,122.9188,121.1786,124.6799,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:toyota-aygo:dvsa-2024-v1,toyota-aygo,359723,85934,23.8889,65718,18.2691,20216,5.6199,94.9490,94.3962,95.5039,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:toyota-yaris:dvsa-2024-v1,toyota-yaris,629646,169337,26.8940,121783,19.3415,47554,7.5525,95.5900,95.2012,95.9797,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:vauxhall-astra:dvsa-2024-v1,vauxhall-astra,914157,308162,33.7100,247039,27.0237,61123,6.6863,109.0858,108.7724,109.3996,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:vauxhall-corsa:dvsa-2024-v1,vauxhall-corsa,1191943,437016,36.6642,343009,28.7773,94007,7.8869,123.5235,123.2322,123.8151,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:vauxhall-mokka:dvsa-2024-v1,vauxhall-mokka,332738,90977,27.3419,73011,21.9425,17966,5.3994,133.4933,132.7552,134.2340,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:volkswagen-golf:dvsa-2024-v1,volkswagen-golf,1323641,330074,24.9368,269369,20.3506,60705,4.5862,85.1336,84.8822,85.3854,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:volkswagen-polo:dvsa-2024-v1,volkswagen-polo,895817,292792,32.6844,238238,26.5945,54554,6.0899,114.8006,114.4597,115.1421,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:volkswagen-tiguan:dvsa-2024-v1,volkswagen-tiguan,397745,62891,15.8119,52787,13.2716,10104,2.5403,79.8231,79.2523,80.3972,ok,dvsa-2024-v1,motriskindex-families-2024-v2
family-stats:volkswagen-transporter:dvsa-2024-v1,volkswagen-transporter,503457,153344,30.4582,127922,25.4087,25422,5.0495,106.3646,105.9212,106.8091,ok,dvsa-2024-v1,motriskindex-families-2024-v2
